location_id,red_light_camera_id,distance_to_red_light_camera,red_light_intersection,not_red_light_intersection,lat,lng,Total_Traffic_Volume,Total_Pedestrian_Volume,Total_Cyclist_Volume
1146,173,155.0,0,1,43.7733187721774,-79.2462539208032,23616,515,10
3925,77,642.0,0,1,43.6367801228756,-79.4752735067663,9887,68,3
3926,117,524.0,0,1,43.6483123448074,-79.4857525759618,36890,3082,332
3927,59,197.0,0,1,43.6592354908109,-79.3284364268527,21869,783,60
3931,125,105.0,0,1,43.6344787017728,-79.4087123466921,45867,10533,2116
3934,31,469.0,0,1,43.5943848853902,-79.5339751517555,10720,1522,28
3935,149,325.0,0,1,43.6907821281771,-79.4030176369546,17305,580,144
3936,77,642.0,0,1,43.6205116938483,-79.4832676660245,9449,889,287
3938,272,0.0,1,0,43.7266672127925,-79.330889020355,10259,154,5
3939,117,524.0,0,1,43.6883683679393,-79.4828783460221,50091,795,167
3940,42,30.0,1,0,43.7049502486028,-79.4940966839077,74216,210,3
3941,272,0.0,1,0,43.6967507846654,-79.3342235906344,20019,107,17
3943,44,72.0,0,1,43.7053961785368,-79.3128363040299,22931,640,145
3946,45,146.0,0,1,43.691479544549,-79.2647519888062,10099,959,86
3947,204,156.0,0,1,43.7087767552253,-79.2497691686238,17335,738,34
3948,91,0.0,1,0,43.7111210897436,-79.2481872869113,19653,738,35
3949,53,0.0,1,0,43.7141140181145,-79.245073031382,15917,230,23
3950,152,484.0,0,1,43.7220328213918,-79.236019115727,20549,1113,24
3951,226,609.0,0,1,43.7320609221739,-79.2245691262998,19146,351,34
3952,271,0.0,1,0,43.7460026438512,-79.2093492660779,114604,1719,328
3953,223,0.0,1,0,43.767653018898194,-79.1896094920962,166677,12282,279
3955,21,971.0,0,1,43.7726078465985,-79.1850331055118,31544,398,20
3957,57,596.0,0,1,43.6788949542251,-79.2979958040382,14253,2757,194
3960,157,408.0,0,1,43.6747097416139,-79.3929234700231,35979,2598,842
3966,192,1235.0,0,1,43.7337468092053,-79.5382288493072,23913,747,6
3968,192,1235.0,0,1,43.7520899922272,-79.5423805755751,16630,2869,32
3969,5,0.0,1,0,43.7304684899798,-79.6014434040938,13296,352,7
3970,174,146.0,0,1,43.7172687359071,-79.5956227288308,75125,656,0
3971,277,257.0,0,1,43.7191566388544,-79.603459799571,27683,771,1
3972,97,357.0,0,1,43.7147614329792,-79.5852385165905,27791,138,1
3973,253,531.0,0,1,43.713318057385,-79.5596898204745,21155,421,1
3974,117,524.0,0,1,43.6952209289768,-79.4876269058738,8312,412,2
3975,219,733.0,0,1,43.6936468342271,-79.2772907531224,69809,1149,885
3976,281,0.0,1,0,43.7233809795397,-79.3021002856885,19185,2569,51
3977,243,631.0,0,1,43.6912323377323,-79.2883586076965,301912,59478,3955
3978,281,0.0,1,0,43.7247230254748,-79.3026450183565,25753,2680,75
3981,284,284.0,0,1,43.7578694237401,-79.3152454343223,51380,4580,8
3983,164,737.0,0,1,43.7752446208589,-79.3230171105627,26590,2305,0
3984,280,0.0,1,0,43.7803520163125,-79.325395308224,108311,2819,843
3992,156,120.0,0,1,43.645999841096305,-79.4099355943768,25913,12117,3200
3995,219,733.0,0,1,43.7120456468031,-79.2810032595656,67154,2072,120
3996,118,359.0,0,1,43.7278469900873,-79.287616156831,36752,1867,7
3998,159,0.0,1,0,43.7611934461888,-79.3007519205955,131013,3230,18
3999,162,5.0,1,0,43.8196435817584,-79.3244835770599,139525,5420,44
4000,96,724.0,0,1,43.6524611999681,-79.3606812047569,66104,5497,844
4002,61,599.0,0,1,43.6588926490462,-79.3365900407115,11045,330,178
