,location_id,mean_distance_to_red_light_camera,mean_total_cyclist_volume,mean_total_pedestrian_volume,mean_total_traffic_volume,mean_distance_to_intersection,red_light_intersection,not_red_light_intersection,injuries_collisons,PD_COLLISIONS,FTR_COLLISIONS,traffic_volume_intersection,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN,month,day,hour,year,place,count
0,1146,343,10,515,23616,41.35973961,0,1,0,1,0,1,1,0,0,0,0,July,Tuesday,18,2023,Woburn North (142),36
1,3925,720,3,68,9887,50.55080084,0,1,0,1,0,1,1,0,0,0,0,October,Wednesday,16,2022,High Park-Swansea (87),157
2,3926,487,332,3082,36890,10.79492656,0,1,0,1,0,1,1,0,0,0,0,April,Thursday,10,2023,High Park-Swansea (87),29
3,3927,0,60,783,21869,11.01768984,1,0,0,1,0,1,1,0,0,0,0,June,Monday,13,2020,South Riverdale (70),215
4,3931,3,2116,10533,45867,5.964679416,1,0,0,1,0,1,1,0,0,0,0,August,Tuesday,16,2023,Fort York-Liberty Village (163),128
5,3934,469,28,1522,10720,55.46568225,0,1,0,1,0,1,1,0,0,0,0,May,Saturday,14,2023,Long Branch (19),116
6,3935,386,144,580,17305,53.73234565,0,1,0,1,0,1,1,0,0,0,0,October,Friday,14,2022,Forest Hill South (101),83
7,3936,235,287,889,9449,24.86307299,0,1,0,1,0,1,1,0,0,0,0,August,Saturday,16,2021,Humber Bay Shores (161),115
8,3939,402,167,795,50091,83.03123998,0,1,0,1,0,0,1,0,0,0,0,April,Saturday,17,2023,Beechborough-Greenbrook (112),189
9,3940,786,3,210,74216,11.18188891,0,1,0,1,0,1,1,0,0,0,0,December,Wednesday,14,2023,Rustic (28),262
10,3941,274,17,107,20019,42.43690362,0,1,0,1,0,1,1,0,0,0,0,May,Saturday,9,2021,Old East York (58),38
11,3943,621,145,640,22931,17.75527457,0,1,0,1,0,1,1,0,0,0,0,September,Tuesday,14,2023,O'Connor-Parkview (54),144
12,3946,142,86,959,10099,5.690587969,0,1,0,1,0,1,1,0,0,0,0,April,Friday,15,2024,Birchcliffe-Cliffside (122),19
13,3947,575,34,738,17335,32.8717235,0,1,0,1,0,1,1,0,0,0,0,July,Friday,14,2023,Birchcliffe-Cliffside (122),39
14,3948,509,35,738,19653,44.99897499,0,1,0,1,0,1,1,0,0,0,0,January,Wednesday,15,2023,Cliffcrest (123),139
15,3949,428,23,230,15917,57.76019893,0,1,0,1,0,1,1,0,0,0,0,May,Wednesday,15,2022,Cliffcrest (123),33
16,3950,491,24,1113,20549,47.38375758,0,1,0,1,0,1,1,0,0,0,0,July,Friday,16,2023,Cliffcrest (123),111
17,3951,538,34,351,19146,15.27928497,0,1,0,1,0,1,1,0,0,0,0,January,Wednesday,14,2022,Scarborough Village (139),39
18,3952,0,328,1719,114604,24.66094524,1,0,0,1,0,1,1,0,0,0,0,March,Thursday,14,2023,Guildwood (140),86
19,3953,0,279,12282,166677,40.49571829,1,0,0,1,0,1,1,0,0,0,0,February,Friday,16,2023,West Hill (136),285
20,3955,159,20,398,31544,47.74550018,0,1,0,1,0,1,1,0,0,0,0,July,Friday,8,2022,West Hill (136),70
21,3957,893,194,2757,14253,2.771574132,0,1,0,1,0,1,1,0,0,0,0,June,Wednesday,15,2023,East End-Danforth (62),136
22,3960,408,842,2598,35979,43.85781058,0,1,0,1,0,0,1,0,0,0,0,June,Wednesday,20,2022,Annex (95),93
23,3966,782,6,747,23913,31.77265465,0,1,0,1,0,1,1,0,0,0,0,September,Wednesday,17,2022,Humbermede (22),172
24,3968,188,32,2869,16630,28.11365715,0,1,0,1,0,1,1,0,0,0,0,June,Friday,14,2023,Humber Summit (21),514
25,3969,293,7,352,13296,86.10299447,0,1,0,1,0,0,1,0,0,0,0,May,Thursday,14,2022,West Humber-Clairville (1),189
26,3970,0,0,656,75125,36.38403813,1,0,0,1,0,1,1,0,0,0,0,December,Thursday,10,2023,West Humber-Clairville (1),51
27,3971,459,1,771,27683,186.6949317,0,1,0,1,0,0,1,0,0,0,0,February,Sunday,14,2022,West Humber-Clairville (1),128
28,3972,460,1,138,27791,1.755681756,0,1,0,0,0,1,1,0,0,0,0,January,Friday,7,2022,West Humber-Clairville (1),25
29,3973,215,1,421,21155,6.328788932,0,1,0,1,0,1,1,0,0,0,0,February,Saturday,15,2022,Rexdale-Kipling (4),102
30,3974,701,2,412,8312,0.754586483,0,1,0,1,0,1,1,0,0,0,0,January,Wednesday,11,2022,Brookhaven-Amesbury (30),19
31,3975,563,885,1149,69809,33.11885932,0,1,0,1,0,1,1,0,0,0,0,May,Tuesday,14,2022,Oakridge (121),45
32,3976,167,51,2569,19185,3.494570152,0,1,0,1,0,1,1,0,0,0,0,April,Thursday,13,2022,Clairlea-Birchmount (120),79
33,3977,481,3955,59478,301912,7.855003996,0,1,0,1,0,1,1,0,0,0,0,June,Friday,16,2023,Oakridge (121),321
34,3978,100,75,2680,25753,14.02186906,0,1,0,1,0,1,1,0,0,0,0,September,Friday,12,2022,Wexford/Maryvale (119),156
35,3981,0,8,4580,51380,54.56977756,1,0,0,1,0,1,1,0,0,0,0,February,Friday,16,2023,Wexford/Maryvale (119),466
36,3983,0,0,2305,26590,25.17548036,1,0,0,1,0,1,1,0,0,0,0,March,Friday,15,2023,L'Amoreaux West (147),251
37,3984,0,843,2819,108311,49.85863767,1,0,0,1,0,1,1,0,0,0,0,February,Friday,17,2023,L'Amoreaux West (147),65
38,3992,202,3200,12117,25913,26.61657053,0,1,0,1,0,1,1,0,0,0,0,May,Thursday,18,2022,Trinity-Bellwoods (81),75
39,3995,0,120,2072,67154,25.26322159,1,0,0,1,0,1,1,0,0,0,0,January,Thursday,15,2023,Clairlea-Birchmount (120),170
40,3996,141,7,1867,36752,35.89830014,0,1,0,1,0,1,1,0,0,0,0,June,Friday,15,2023,Wexford/Maryvale (119),321
41,3998,0,18,3230,131013,12.91519484,1,0,0,1,0,1,1,0,0,0,0,November,Friday,14,2023,Wexford/Maryvale (119),411
42,3999,5,44,5420,139525,1.371681577,1,0,0,0,0,1,1,0,0,0,0,April,Friday,14,2021,Steeles (116),2
43,4000,286,844,5497,66104,10.81115113,0,1,0,1,0,1,1,0,0,0,0,December,Monday,15,2022,St Lawrence-East Bayfront-The Islands (166),15
44,4002,124,178,330,11045,91.88474233,0,1,0,1,0,0,1,0,0,0,0,June,Wednesday,14,2023,South Riverdale (70),61
45,4004,655,747,1675,5019,27.80495906,0,1,0,1,0,1,1,0,0,0,0,March,Thursday,14,2023,West Queen West (162),52
46,4006,217,198,3855,4807,8.56111793,0,1,0,1,0,1,1,0,0,0,0,May,Saturday,16,2022,Wellington Place (164),59
47,4007,262,172,2973,4640,25.9435162,0,1,0,1,0,1,1,0,0,0,0,December,Sunday,15,2023,Wellington Place (164),55
48,4009,228,2246,4014,11022,2.472349916,0,1,0,1,0,1,1,0,0,0,0,June,Thursday,18,2023,Moss Park (73),53
49,4010,2,1640,7984,80128,0.017856445,1,0,0,1,0,1,1,0,0,0,0,August,Tuesday,13,2022,Moss Park (73),87
50,4012,100,1837,11371,8017,23.63388771,0,1,0,1,0,1,1,0,0,0,0,March,Friday,13,2023,Yonge-Bay Corridor (170),78
51,4013,489,2036,6588,19742,1.487414063,0,1,0,1,0,1,1,0,0,0,0,August,Tuesday,13,2022,Regent Park (72),8
52,4023,64,15,1039,18908,9.347248869,0,1,0,1,0,1,1,0,0,0,0,August,Friday,15,2022,Oakdale-Beverley Heights (154),138
53,4024,0,4,11369,42394,40.67426374,1,0,0,1,0,1,1,0,0,0,0,March,Saturday,16,2022,Oakdale-Beverley Heights (154),520
54,4027,200,6,800,12058,158.0469467,0,1,0,1,0,0,1,0,0,0,0,October,Thursday,16,2023,Glenfield-Jane Heights (25),396
55,4031,713,1246,1384,12937,9.914433966,0,1,0,1,0,1,1,0,0,0,0,November,Thursday,16,2022,South Riverdale (70),13
56,4032,0,1598,19318,136783,2.959773445,1,0,0,1,0,1,1,0,0,0,0,May,Friday,12,2023,High Park North (88),222
57,4033,153,314,1360,8741,44.50820993,0,1,0,1,0,0,1,0,0,0,0,August,Friday,16,2020,High Park North (88),36
58,4034,435,275,269,8444,0.472814613,0,1,0,1,0,1,1,0,0,0,0,February,Saturday,16,2020,Junction Area (90),11
59,4035,430,420,2581,6544,30.63113093,0,1,0,1,0,1,1,0,0,0,0,March,Thursday,14,2022,Kensington-Chinatown (78),31
60,4036,204,892,8648,11058,14.38603453,0,1,0,1,0,1,1,0,0,0,0,February,Sunday,12,2023,Kensington-Chinatown (78),69
61,4037,111,929,14849,14060,33.88014477,0,1,0,1,0,1,1,0,0,0,0,May,Thursday,11,2022,Yonge-Bay Corridor (170),120
62,4038,915,26,5698,28679,32.49092544,0,1,0,1,0,1,1,0,0,0,0,April,Monday,16,2023,Etobicoke City Centre (159),91
63,4042,516,43,5758,45965,9.638347037,0,1,0,1,0,1,1,0,0,0,0,October,Wednesday,16,2023,Ionview (125),345
64,4044,0,15,5909,69162,30.79601188,1,0,0,1,0,1,1,0,0,0,0,January,Friday,17,2023,Dorset Park (126),568
65,4047,0,20,10473,148295,5.093188796,1,0,0,1,0,1,1,0,0,0,0,June,Thursday,15,2023,Dorset Park (126),590
66,4048,0,23,3126,63162,76.70374946,1,0,0,1,0,0,1,0,0,0,0,March,Friday,14,2023,Dorset Park (126),670
67,4049,206,21,656,24383,62.96972156,0,1,0,1,0,1,1,0,0,0,0,February,Thursday,17,2022,Agincourt South-Malvern West (128),207
68,4050,0,5,5100,58447,29.99032527,1,0,0,1,0,1,1,0,0,0,0,February,Friday,16,2022,Agincourt South-Malvern West (128),502
69,4051,177,1,31,11972,64.21896747,0,1,0,1,0,0,1,0,0,0,0,March,Saturday,13,2023,East L'Amoreaux (148),40
70,4052,1,4,3573,56239,92.23850718,1,0,0,1,0,0,1,0,0,0,0,February,Friday,13,2023,Steeles (116),51
71,4053,265,124,801,7634,79.70164827,0,1,0,1,0,0,1,0,0,0,0,February,Friday,9,2022,Junction Area (90),114
72,4055,834,7,1140,5713,89.69388803,0,1,0,1,0,0,1,0,0,0,0,January,Sunday,6,2022,York University Heights (27),60
73,4056,416,18468,83648,156278,6.232839717,0,1,0,1,0,1,1,0,0,0,0,December,Thursday,12,2023,Rosedale-Moore Park (98),134
74,4058,1,19013,48286,115641,1.522788278,1,0,0,1,0,1,1,0,0,0,0,March,Thursday,14,2023,Dovercourt Village (172),130
75,4060,531,1055,8168,8747,0.876745758,0,1,0,1,0,1,1,0,0,0,0,December,Saturday,16,2022,Annex (95),31
76,4063,767,27,927,32386,46.54335302,0,1,0,1,0,0,1,0,0,0,0,March,Saturday,13,2020,Etobicoke City Centre (159),10
77,4065,420,213,2722,7590,74.5550464,0,1,0,1,0,0,1,0,0,0,0,February,Friday,14,2022,Danforth (66),65
78,4067,402,938,10479,44744,62.81207327,0,1,0,1,0,0,1,0,0,0,0,February,Friday,16,2023,East End-Danforth (62),77
79,4068,101,2,185,23528,18.02389551,0,1,0,1,0,1,1,0,0,0,0,June,Friday,16,2020,Maple Leaf (29),59
80,4069,1,2,264,30107,15.68122014,1,0,0,1,0,1,1,0,0,0,0,June,Tuesday,18,2023,Downsview (155),94
81,4070,352,1407,5064,91800,16.03151846,0,1,0,1,0,1,1,0,0,0,0,March,Friday,15,2023,Junction Area (90),43
82,4071,516,29,966,14506,25.55391781,0,1,0,1,0,1,1,0,0,0,0,February,Tuesday,13,2023,Junction Area (90),68
83,4072,391,100,5378,42031,10.3354525,0,1,0,1,0,1,1,0,0,0,0,April,Friday,16,2023,Junction Area (90),502
84,4073,146,8,501,8874,65.80761991,0,1,0,1,0,1,1,0,0,0,0,June,Wednesday,17,2023,Keelesdale-Eglinton West (110),87
85,4074,211,40,714,60359,8.907274496,0,1,0,1,0,1,1,0,0,0,0,June,Friday,15,2022,Maple Leaf (29),48
86,4075,0,16,5872,75180,20.01483489,1,0,0,1,0,1,1,0,0,0,0,June,Friday,16,2023,York University Heights (27),273
87,4076,325,15,1057,14717,3.452026447,0,1,0,1,0,1,1,0,0,0,0,March,Friday,15,2023,York University Heights (27),111
88,4077,533,5,2572,23080,6.479684946,0,1,0,1,0,1,1,0,0,0,0,June,Thursday,15,2023,York University Heights (27),195
89,4078,399,5,166,14420,5.161102939,0,1,0,1,0,1,1,0,0,0,0,December,Saturday,16,2021,York University Heights (27),49
90,4079,139,5,234,13314,8.651747395,0,1,0,1,0,1,1,0,0,0,0,January,Thursday,16,2023,York University Heights (27),31
91,4081,604,9587,10447,129030,61.4436207,0,1,0,1,0,1,1,0,0,0,0,November,Friday,14,2022,Cabbagetown-South St.James Town (71),169
92,4083,448,113,273,7320,10.80808081,0,1,0,1,0,1,1,0,0,0,0,June,Thursday,18,2022,Weston-Pelham Park (91),17
93,4084,144,29,176,11027,32.39994067,0,1,0,1,0,1,1,0,0,0,0,February,Friday,12,2023,Yorkdale-Glen Park (31),69
94,4085,705,150,2299,5565,4.177722616,0,1,0,1,0,1,1,0,0,0,0,December,Thursday,14,2022,High Park North (88),12
95,4089,506,310,5558,30404,31.94348367,0,1,0,1,0,1,1,0,0,0,0,January,Friday,13,2023,Annex (95),31
96,4090,307,8,96,12296,56.07268988,0,1,0,1,0,0,1,0,0,0,0,June,Friday,15,2024,Bendale South (157),25
97,4091,71,15,442,17242,26.67990669,0,1,0,1,0,1,1,0,0,0,0,April,Friday,17,2023,Bendale-Glen Andrew (156),59
98,4092,228,551,4410,56288,63.64255503,0,1,0,1,0,0,1,0,0,0,0,August,Friday,17,2023,Corso Italia-Davenport (92),209
99,4093,828,34,412,9313,3.486126497,0,1,0,1,0,1,1,0,0,0,0,February,Friday,15,2020,York University Heights (27),50
100,4094,453,3,40,8917,1.889473068,0,1,0,1,0,1,1,0,0,0,0,August,Thursday,11,2020,York University Heights (27),17
101,4095,531,2,46,8473,60.7922845,0,1,0,1,0,1,1,0,0,0,0,January,Wednesday,17,2021,York University Heights (27),33
102,4099,219,148,2046,6001,19.97495293,0,1,0,1,0,1,1,0,0,0,0,May,Saturday,18,2022,Corso Italia-Davenport (92),24
103,4101,237,2443,9607,86788,5.190434162,0,1,0,1,0,1,1,0,0,0,0,September,Wednesday,16,2023,Corso Italia-Davenport (92),177
104,4102,65,13,874,33639,34.71523938,0,1,0,1,0,1,1,0,0,0,0,December,Friday,13,2023,Yorkdale-Glen Park (31),124
105,4103,442,944,58684,111742,5.509587558,0,1,0,1,0,1,1,0,0,0,0,June,Friday,14,2023,Corso Italia-Davenport (92),233
106,4106,0,20,2123,74437,8.82292675,1,0,0,1,0,1,1,0,0,0,0,February,Tuesday,14,2023,Bathurst Manor (34),521
107,4108,693,64,2749,70322,29.36266696,0,1,0,1,0,1,1,0,0,0,0,May,Tuesday,15,2023,Cliffcrest (123),143
108,4109,0,28,403,15955,34.62926052,1,0,0,1,0,1,1,0,0,0,0,February,Friday,15,2022,Woburn North (142),101
109,4110,0,12,4809,86501,37.21819006,1,0,0,1,0,1,1,0,0,0,0,February,Thursday,15,2023,Woburn North (142),386
110,4112,278,15,632,30278,46.16747303,0,1,0,1,0,1,1,0,0,0,0,November,Friday,14,2023,Agincourt South-Malvern West (128),258
111,4113,0,18,2555,32021,4.854419946,1,0,0,1,0,1,1,0,0,0,0,January,Saturday,10,2022,Agincourt South-Malvern West (128),310
112,4115,154,2,515,11626,21.02692256,0,1,0,1,0,1,1,0,0,0,0,February,Thursday,16,2022,Woburn North (142),36
113,4117,0,272,9402,63724,3.230797296,1,0,0,1,0,1,1,0,0,0,0,January,Thursday,15,2023,Thorncliffe Park (55),172
114,4119,0,12,241,8518,84.80748193,1,0,0,1,0,1,1,0,0,0,0,November,Monday,7,2023,Woburn North (142),52
115,4120,682,47,4364,15088,15.68531383,0,1,0,1,0,1,1,0,0,0,0,September,Friday,3,2022,Humewood-Cedarvale (106),54
116,4121,715,26,1157,19519,8.870356949,0,1,0,1,0,1,1,0,0,0,0,March,Wednesday,13,2022,Forest Hill North (102),134
117,4122,0,172,3819,226682,24.04956286,1,0,0,1,0,1,1,0,0,0,0,January,Friday,13,2022,York University Heights (27),152
118,4123,249,23,356,27215,27.64464905,0,1,0,1,0,1,1,0,0,0,0,January,Friday,15,2022,Bathurst Manor (34),108
119,4124,61,5648,21801,44776,4.640516652,0,1,0,1,0,1,1,0,0,0,0,May,Friday,17,2023,West Queen West (162),58
120,4125,213,4782,16520,34463,16.78789369,0,1,0,1,0,1,1,0,0,0,0,April,Monday,18,2021,West Queen West (162),46
121,4126,513,104,2566,27511,58.69672814,0,1,0,1,0,1,1,0,0,0,0,December,Friday,17,2022,Wexford/Maryvale (119),365
122,4128,391,164,4648,62960,16.64607811,0,1,0,1,0,1,1,0,0,0,0,September,Thursday,17,2020,Eglinton East (138),73
123,4129,715,5,354,10523,69.10030621,0,1,0,1,0,1,1,0,0,0,0,March,Thursday,14,2023,Flemingdon Park (44),240
124,4130,779,29,99,25861,217.7179985,0,1,0,1,1,0,1,0,0,0,0,August,Monday,8,2022,Victoria Village (43),5
125,4131,1020,46,4616,6932,32.30202941,0,1,0,1,0,0,1,0,0,0,0,February,Monday,15,2022,North Toronto (173),90
126,4134,974,37,131,25883,132.3769852,0,1,0,1,0,0,1,0,0,0,0,April,Saturday,8,2023,Eringate-Centennial-West Deane (11),126
